Date,Price,NAV
04.12.2007,13728.4,2211435889.89
05.12.2007,13720.04,2201514276.14
06.12.2007,13705.35,2156116805.53
07.12.2007,13696.55,2128981432.56
10.12.2007,13720.66,2090251231.81
11.12.2007,13729.75,2092125391.58
12.12.2007,13717.63,2027535833.36
13.12.2007,13727.68,2035957245.02
14.12.2007,13714.12,2035432022.68
17.12.2007,13713.45,2039981446.0
18.12.2007,13713.52,2059560903.05
19.12.2007,13722.69,2050234243.99
20.12.2007,13725.07,2052446741.13
21.12.2007,13723.43,2060775375.73
24.12.2007,13731.09,2047840686.21
25.12.2007,13747.54,2071485301.43
26.12.2007,13757.91,2086978818.07
27.12.2007,13775.31,2109130480.01
28.12.2007,13793.27,2140577817.13
29.12.2007,13796.38,2155426023.95
09.01.2008,13915.81,2182971754.59
10.01.2008,13917.3,2230722033.44
11.01.2008,13918.75,2257541237.04
14.01.2008,13927.06,2239063701.84
15.01.2008,13925.5,2249122968.21
16.01.2008,13934.01,2255987898.18
17.01.2008,13950.16,2255365265.0
18.01.2008,13948.04,2238122832.0
21.01.2008,13944.33,2235253758.92
22.01.2008,13937.31,2242824761.0
23.01.2008,13945.09,2192124287.99
24.01.2008,13949.17,2144012210.0
25.01.2008,13952.92,2084072585.26
28.01.2008,13959.7,1965853194.11
29.01.2008,13958.43,1959032653.67
30.01.2008,13963.67,1964903234.19
31.01.2008,13962.68,1962858010.83
01.02.2008,13962.59,1916397124.0
04.02.2008,13972.24,1905708686.54
05.02.2008,13960.49,1924511352.86
06.02.2008,13962.86,1925509078.09
07.02.2008,13970.0,1917112171.82
08.02.2008,13976.92,1896791139.7
11.02.2008,13981.4,1902762685.7
12.02.2008,13979.78,1930771889.66
13.02.2008,13983.08,1977914615.09
14.02.2008,13987.54,1963753773.11
15.02.2008,13958.81,1953143913.93
18.02.2008,13977.0,1918746546.27
19.02.2008,13988.03,1931699966.98
20.02.2008,13994.26,1972966736.79
21.02.2008,13978.56,1976734350.88
22.02.2008,13974.11,1972671975.24
26.02.2008,13991.21,1933301691.98
27.02.2008,13976.93,1970610617.33
