time,close
2020-05-13,38266.38
2020-05-14,38291.47
2020-05-15,38353.83
2020-05-18,38393.22
2020-05-19,38438.6
2020-05-20,38561.67
2020-05-21,38574.6
2020-05-22,38582.7
2020-05-25,38671.56
2020-05-26,38725.07
2020-05-27,38721.93
2020-05-28,38748.19
2020-05-29,38763.95
2020-06-01,38766.37
2020-06-02,38783.9
2020-06-03,38801.59
2020-06-04,38730.87
2020-06-05,38782.13
2020-06-08,38762.82
2020-06-09,38720.25
2020-06-10,38760.92
2020-06-11,38829.86
2020-06-15,38728.8
2020-06-16,38752.75
2020-06-17,38835.22
2020-06-18,38863.86
2020-06-19,38935.77
2020-06-22,38961.83
2020-06-23,38907.32
2020-06-25,38894.06
2020-06-26,38937.46
2020-06-29,38866.28
2020-06-30,38897.1
2020-07-02,38901.3
2020-07-03,38927.24
2020-07-06,38799.97
2020-07-07,38853.59
2020-07-08,38863.34
2020-07-09,38951.42
2020-07-10,38941.66
2020-07-13,38978.17
2020-07-14,39040.51
2020-07-15,39007.75
2020-07-16,39011.84
2020-07-17,39001.94
2020-07-20,39079.11
2020-07-21,39093.72
2020-07-22,39098.43
2020-07-23,39098.52
2020-07-24,39103.7
2020-07-27,39132.69
2020-07-28,39109.07
2020-07-29,39127.18
2020-07-30,39093.29
2020-07-31,39095.36
2020-08-03,39146.49
2020-08-04,39190.3
2020-08-05,39168.37
2020-08-06,39163.38
2020-08-07,39160.59
2020-08-10,39289.45
2020-08-11,39227.84
2020-08-12,39226.07
2020-08-13,39199.58
2020-08-14,39176.75
2020-08-17,39130.57
2020-08-18,39125.6
2020-08-19,39138.13
2020-08-20,39066.73
2020-08-21,39096.7
2020-08-24,39130.76
2020-08-25,39104.1
2020-08-26,39090.86
2020-08-27,39106.29
2020-08-28,39147.04
2020-08-31,39156.17
2020-09-01,39186.64
2020-09-02,39157.05
2020-09-03,39118.33
2020-09-04,39135.08
2020-09-07,39073.02
2020-09-08,39098.23
2020-09-09,39097.33
2020-09-10,39188.43
2020-09-11,39225.22
2020-09-14,39255.57
2020-09-15,39278.6
2020-09-16,39285.43
2020-09-17,39206.45
2020-09-18,39228.32
2020-09-21,39212.09
2020-09-22,39200.43
2020-09-23,39280.24
2020-09-24,39279.17
2020-09-25,39271.22
2020-09-28,39263.79
2020-09-29,39231.14
2020-09-30,39244.68
2020-10-01,39299.51
2020-10-02,39290.93
2020-10-05,39374.87
2020-10-06,39398.76
2020-10-07,39399.22
2020-10-08,39459.22
2020-10-09,39476.61
2020-10-12,39501.8
2020-10-13,39499.65
2020-10-14,39505.61
2020-10-15,39455.96
2020-10-16,39478.01
2020-10-19,39506.23
2020-10-20,39473.59
2020-10-21,39521.22
2020-10-22,39518.95
2020-10-23,39546.34
2020-10-26,39520.62
2020-10-27,39517.24
2020-10-28,39606.17
2020-10-29,39447.66
2020-10-30,39438.46
2020-11-02,39394.09
2020-11-03,39429.64
2020-11-05,39535.42
2020-11-06,39602.05
2020-11-09,39674.97
2020-11-10,39679.39
2020-11-11,39652.56
